geom,temp_mes
POINT (-91.00368372350115 175.97516875570702),-25.5
POINT (-90.44708626953478 175.97516875570702),-25.4
POINT (-89.89048881556842 175.97516875570702),-25.6
POINT (-89.33389136160206 175.97516875570702),-24.4
POINT (-88.77729390763568 175.97516875570702),-24.4
POINT (-88.2206964536693 175.97516875570702),-24.2
POINT (-87.66409899970294 175.97516875570702),-24.3
POINT (-87.10750154573657 175.97516875570702),-24.2
POINT (-86.5509040917702 175.97516875570702),-24.2
POINT (-85.99430663780383 175.97516875570702),-24.1
POINT (-85.43770918383746 175.97516875570702),-24.2
POINT (-84.8811117298711 175.97516875570702),-24.2
POINT (-84.32451427590473 175.97516875570702),-24.0
POINT (-83.76791682193837 175.97516875570702),-24.0
POINT (-83.21131936797201 175.97516875570702),-24.0
POINT (-82.65472191400563 175.97516875570702),-24.0
POINT (-82.09812446003926 175.97516875570702),-24.2
POINT (-81.5415270060729 175.97516875570702),-24.2
POINT (-80.98492955210652 175.97516875570702),-24.0
POINT (-80.42833209814016 175.97516875570702),-23.9
POINT (-79.87173464417378 175.97516875570702),-23.9
POINT (-79.31513719020742 175.97516875570702),-23.9
POINT (-78.75853973624106 175.97516875570702),-24.0
POINT (-78.20194228227469 175.97516875570702),-24.0
POINT (-77.64534482830832 175.97516875570702),-24.0
POINT (-77.08874737434196 175.97516875570702),-24.0
POINT (-76.53214992037559 175.97516875570702),-24.1
POINT (-75.9755524664092 175.97516875570702),-24.1
POINT (-75.41895501244285 175.97516875570702),-24.1
POINT (-74.86235755847649 175.97516875570702),-24.0
POINT (-74.30576010451011 175.97516875570702),-24.0
POINT (-73.74916265054375 175.97516875570702),-24.1
POINT (-73.19256519657738 175.97516875570702),-24.1
POINT (-72.635967742611 175.97516875570702),-24.1
POINT (-72.07937028864464 175.97516875570702),-25.2
POINT (-71.52277283467826 175.97516875570702),-24.9
POINT (-70.9661753807119 175.97516875570702),-24.7
POINT (-70.40957792674553 175.97516875570702),-24.2
POINT (-69.29638301881279 175.97516875570702),-23.9
POINT (-55.38144666965361 175.97516875570702),-23.2
POINT (-54.82484921568724 175.97516875570702),-23.4
POINT (-54.26825176172086 175.97516875570702),-23.6
POINT (-53.7116543077545 175.97516875570702),-23.6
POINT (-53.15505685378814 175.97516875570702),-23.3
POINT (-52.59845939982176 175.97516875570702),-24.3
POINT (-52.04186194585541 175.97516875570702),-23.3
POINT (-51.485264491889026 175.97516875570702),-23.4
POINT (-50.92866703792266 175.97516875570702),-24.2
POINT (-50.37206958395629 175.97516875570702),-24.2
POINT (-49.815472129989935 175.97516875570702),-23.3
POINT (-49.25887467602355 175.97516875570702),-23.3
POINT (-48.70227722205719 175.97516875570702),-23.4
POINT (-48.14567976809082 175.97516875570702),-23.4
POINT (-47.589082314124454 175.97516875570702),-23.3
POINT (-47.032484860158085 175.97516875570702),-23.2
POINT (-46.47588740619172 175.97516875570702),-23.1
POINT (-45.91928995222534 175.97516875570702),-23.2
POINT (-45.36269249825898 175.97516875570702),-23.2
POINT (-44.80609504429262 175.97516875570702),-23.3
POINT (-44.24949759032624 175.97516875570702),-23.2
POINT (-43.692900136359874 175.97516875570702),-23.3
POINT (-43.13630268239351 175.97516875570702),-24.7
POINT (-42.57970522842714 175.97516875570702),-24.9
POINT (-42.023107774460776 175.97516875570702),-24.9
POINT (-41.46651032049441 175.97516875570702),-23.2
POINT (-40.90991286652804 175.97516875570702),-23.0
POINT (-40.35331541256168 175.97516875570702),-23.0
POINT (-39.7967179585953 175.97516875570702),-24.9
POINT (-39.24012050462894 175.97516875570702),-22.9
POINT (-38.68352305066257 175.97516875570702),-22.8
POINT (-38.1269255966962 175.97516875570702),-22.8
POINT (-37.570328142729835 175.97516875570702),-22.9
POINT (-37.01373068876347 175.97516875570702),-22.8
POINT (-36.4571332347971 175.97516875570702),-22.7
POINT (-35.90053578083073 175.97516875570702),-24.6
POINT (-35.34393832686437 175.97516875570702),-22.7
POINT (-34.787340872897985 175.97516875570702),-22.7
POINT (-34.23074341893163 175.97516875570702),-22.5
POINT (-33.67414596496526 175.97516875570702),-22.5
POINT (-33.117548510998894 175.97516875570702),-22.5
POINT (-32.56095105703252 175.97516875570702),-22.5
POINT (-32.00435360306615 175.97516875570702),-22.4
POINT (-31.447756149099785 175.97516875570702),-22.3
POINT (-30.89115869513342 175.97516875570702),-22.2
POINT (-30.334561241167044 175.97516875570702),-22.2
POINT (-29.777963787200683 175.97516875570702),-22.2
POINT (-29.221366333234318 175.97516875570702),-22.1
POINT (-28.664768879267942 175.97516875570702),-22.7
POINT (-28.108171425301578 175.97516875570702),-22.0
POINT (-27.551573971335216 175.97516875570702),-22.2
POINT (-26.99497651736884 175.97516875570702),-22.2
POINT (-26.438379063402476 175.97516875570702),-22.0
POINT (-25.881781609436107 175.97516875570702),-21.8
POINT (-25.32518415546974 175.97516875570702),-21.7
POINT (-24.76858670150337 175.97516875570702),-21.6
POINT (-24.211989247537 175.97516875570702),-21.5
POINT (-98.23945062506394 171.70933410457263),-25.5
POINT (-97.68285317109758 171.70933410457263),-25.5
POINT (-96.56965826316483 171.70933410457263),-25.5
POINT (-96.01306080919846 171.70933410457263),-25.7
POINT (-95.45646335523209 171.70933410457263),-24.8
POINT (-94.89986590126573 171.70933410457263),-24.8
POINT (-94.34326844729935 171.70933410457263),-24.8
POINT (-93.78667099333298 171.70933410457263),-24.7
POINT (-93.23007353936664 171.70933410457263),-25.5
POINT (-92.67347608540025 171.70933410457263),-24.7
POINT (-92.11687863143388 171.70933410457263),-24.5
POINT (-91.56028117746753 171.70933410457263),-24.5
POINT (-91.00368372350115 171.70933410457263),-24.4
POINT (-90.44708626953478 171.70933410457263),-24.4
POINT (-89.89048881556842 171.70933410457263),-24.3
POINT (-89.33389136160206 171.70933410457263),-24.1
POINT (-88.77729390763568 171.70933410457263),-24.1
POINT (-88.2206964536693 171.70933410457263),-27.9
POINT (-87.66409899970294 171.70933410457263),-28.5
POINT (-87.10750154573657 171.70933410457263),-29.0
POINT (-86.5509040917702 171.70933410457263),-29.9
POINT (-85.99430663780383 171.70933410457263),-30.1
POINT (-85.43770918383746 171.70933410457263),-28.0
POINT (-84.8811117298711 171.70933410457263),-27.9
POINT (-84.32451427590473 171.70933410457263),-28.1
POINT (-83.76791682193837 171.70933410457263),-28.7
POINT (-83.21131936797201 171.70933410457263),-29.3
POINT (-82.65472191400563 171.70933410457263),-29.2
POINT (-82.09812446003926 171.70933410457263),-28.3
POINT (-81.5415270060729 171.70933410457263),-28.1
POINT (-80.98492955210652 171.70933410457263),-28.6
POINT (-80.42833209814016 171.70933410457263),-29.0
POINT (-79.87173464417378 171.70933410457263),-28.7
POINT (-79.31513719020742 171.70933410457263),-28.7
POINT (-78.75853973624106 171.70933410457263),-28.5
POINT (-78.20194228227469 171.70933410457263),-28.3
POINT (-77.64534482830832 171.70933410457263),-27.7
POINT (-77.08874737434196 171.70933410457263),-27.2
POINT (-76.53214992037559 171.70933410457263),-23.9
POINT (-75.9755524664092 171.70933410457263),-24.0
POINT (-75.41895501244285 171.70933410457263),-27.1
POINT (-74.86235755847649 171.70933410457263),-27.0
POINT (-74.30576010451011 171.70933410457263),-27.1
POINT (-73.74916265054375 171.70933410457263),-27.0
POINT (-73.19256519657738 171.70933410457263),-26.5
POINT (-72.635967742611 171.70933410457263),-26.2
POINT (-72.07937028864464 171.70933410457263),-24.0
POINT (-71.52277283467826 171.70933410457263),-24.0
POINT (-70.9661753807119 171.70933410457263),-24.0
POINT (-70.40957792674553 171.70933410457263),-24.0
POINT (-69.85298047277918 171.70933410457263),-24.0
POINT (-69.29638301881279 171.70933410457263),-25.1
POINT (-68.73978556484644 171.70933410457263),-25.0
POINT (-68.18318811088008 171.70933410457263),-25.0
POINT (-66.51339574898097 171.70933410457263),-23.7
POINT (-65.40020084104823 171.70933410457263),-23.8
POINT (-64.84360338708186 171.70933410457263),-24.1
POINT (-64.2870059331155 171.70933410457263),-24.3
POINT (-63.73040847914911 171.70933410457263),-24.3
POINT (-63.17381102518276 171.70933410457263),-24.4
POINT (-62.61721357121638 171.70933410457263),-24.8
POINT (-62.06061611725002 171.70933410457263),-24.2
POINT (-61.50401866328366 171.70933410457263),-24.7
POINT (-60.947421209317284 171.70933410457263),-24.5
POINT (-60.39082375535091 171.70933410457263),-23.7
POINT (-59.83422630138455 171.70933410457263),-24.1
POINT (-59.27762884741818 171.70933410457263),-24.1
POINT (-58.72103139345182 171.70933410457263),-23.7
POINT (-58.164433939485455 171.70933410457263),-23.6
POINT (-57.60783648551907 171.70933410457263),-24.0
POINT (-57.051239031552704 171.70933410457263),-23.8
POINT (-56.49464157758634 171.70933410457263),-24.2
POINT (-55.938044123619974 171.70933410457263),-23.8
POINT (-55.38144666965361 171.70933410457263),-23.4
POINT (-54.82484921568724 171.70933410457263),-23.4
POINT (-54.26825176172086 171.70933410457263),-23.3
POINT (-53.7116543077545 171.70933410457263),-23.2
POINT (-53.15505685378814 171.70933410457263),-23.3
POINT (-52.59845939982176 171.70933410457263),-24.2
POINT (-52.04186194585541 171.70933410457263),-24.0
POINT (-51.485264491889026 171.70933410457263),-23.7
POINT (-50.92866703792266 171.70933410457263),-24.0
POINT (-50.37206958395629 171.70933410457263),-23.3
POINT (-49.815472129989935 171.70933410457263),-23.3
POINT (-49.25887467602355 171.70933410457263),-23.4
POINT (-48.70227722205719 171.70933410457263),-23.4
POINT (-48.14567976809082 171.70933410457263),-23.4
POINT (-47.589082314124454 171.70933410457263),-23.4
POINT (-47.032484860158085 171.70933410457263),-23.4
POINT (-46.47588740619172 171.70933410457263),-23.3
POINT (-45.91928995222534 171.70933410457263),-23.2
POINT (-45.36269249825898 171.70933410457263),-23.2
POINT (-44.80609504429262 171.70933410457263),-23.2
POINT (-44.24949759032624 171.70933410457263),-23.2
POINT (-43.692900136359874 171.70933410457263),-23.2
POINT (-43.13630268239351 171.70933410457263),-24.7
POINT (-42.57970522842714 171.70933410457263),-23.1
POINT (-42.023107774460776 171.70933410457263),-23.1
POINT (-41.46651032049441 171.70933410457263),-23.0
POINT (-40.90991286652804 171.70933410457263),-23.0
POINT (-40.35331541256168 171.70933410457263),-22.8
POINT (-39.7967179585953 171.70933410457263),-22.7
POINT (-39.24012050462894 171.70933410457263),-22.7
POINT (-38.68352305066257 171.70933410457263),-22.7
POINT (-38.1269255966962 171.70933410457263),-22.6
POINT (-37.570328142729835 171.70933410457263),-22.7
POINT (-37.01373068876347 171.70933410457263),-22.5
POINT (-36.4571332347971 171.70933410457263),-22.4
POINT (-35.90053578083073 171.70933410457263),-22.3
POINT (-35.34393832686437 171.70933410457263),-23.0
POINT (-34.787340872897985 171.70933410457263),-22.9
POINT (-34.23074341893163 171.70933410457263),-22.8
POINT (-33.67414596496526 171.70933410457263),-22.7
POINT (-33.117548510998894 171.70933410457263),-22.8
POINT (-32.56095105703252 171.70933410457263),-22.7
POINT (-32.00435360306615 171.70933410457263),-22.5
POINT (-31.447756149099785 171.70933410457263),-22.6
POINT (-30.89115869513342 171.70933410457263),-22.3
POINT (-30.334561241167044 171.70933410457263),-22.3
POINT (-29.777963787200683 171.70933410457263),-22.2
POINT (-29.221366333234318 171.70933410457263),-22.1
POINT (-28.664768879267942 171.70933410457263),-22.1
POINT (-28.108171425301578 171.70933410457263),-22.0
POINT (-27.551573971335216 171.70933410457263),-21.7
POINT (-26.99497651736884 171.70933410457263),-21.6
POINT (-26.438379063402476 171.70933410457263),-21.5
POINT (-25.881781609436107 171.70933410457263),-21.3
POINT (-25.32518415546974 171.70933410457263),-21.2
POINT (-24.76858670150337 171.70933410457263),-21.1
POINT (-24.211989247537 171.70933410457263),-21.0
POINT (-23.655391793570633 171.70933410457263),-20.8
POINT (-23.098794339604268 171.70933410457263),-20.6
POINT (-22.5421968856379 171.70933410457263),-20.4
POINT (-21.98559943167153 171.70933410457263),-20.3
POINT (-21.429001977705163 171.70933410457263),-20.2
POINT (-102.1356328028285 167.708717922446),-25.7
POINT (-101.57903534886213 167.708717922446),-25.7
POINT (-101.02243789489576 167.708717922446),-25.7
POINT (-100.4658404409294 167.708717922446),-25.7
POINT (-99.90924298696305 167.708717922446),-25.7
POINT (-99.35264553299668 167.708717922446),-25.7
POINT (-98.7960480790303 167.708717922446),-24.9
POINT (-98.23945062506394 167.708717922446),-24.7
POINT (-97.68285317109758 167.708717922446),-24.7
POINT (-97.1262557171312 167.708717922446),-24.8
POINT (-96.56965826316483 167.708717922446),-24.7
POINT (-96.01306080919846 167.708717922446),-24.6
POINT (-95.45646335523209 167.708717922446),-24.5
POINT (-94.89986590126573 167.708717922446),-24.3
POINT (-94.34326844729935 167.708717922446),-28.4
POINT (-93.78667099333298 167.708717922446),-28.9
POINT (-93.23007353936664 167.708717922446),-29.5
POINT (-92.67347608540025 167.708717922446),-30.1
POINT (-92.11687863143388 167.708717922446),-30.2
POINT (-91.56028117746753 167.708717922446),-29.8
POINT (-91.00368372350115 167.708717922446),-29.2
POINT (-90.44708626953478 167.708717922446),-28.8
POINT (-89.89048881556842 167.708717922446),-28.8
POINT (-89.33389136160206 167.708717922446),-29.1
POINT (-88.77729390763568 167.708717922446),-28.6
POINT (-88.2206964536693 167.708717922446),-28.5
POINT (-87.66409899970294 167.708717922446),-29.7
POINT (-87.10750154573657 167.708717922446),-30.3
POINT (-86.5509040917702 167.708717922446),-29.9
POINT (-85.99430663780383 167.708717922446),-29.3
POINT (-85.43770918383746 167.708717922446),-29.6
POINT (-84.8811117298711 167.708717922446),-29.9
POINT (-84.32451427590473 167.708717922446),-29.5
POINT (-83.76791682193837 167.708717922446),-29.4
POINT (-83.21131936797201 167.708717922446),-28.8
POINT (-82.65472191400563 167.708717922446),-28.3
POINT (-82.09812446003926 167.708717922446),-27.4
POINT (-81.5415270060729 167.708717922446),-27.1
POINT (-80.98492955210652 167.708717922446),-26.8
POINT (-80.42833209814016 167.708717922446),-26.8
POINT (-79.87173464417378 167.708717922446),-23.7
POINT (-79.31513719020742 167.708717922446),-23.8
POINT (-78.75853973624106 167.708717922446),-24.0
POINT (-78.20194228227469 167.708717922446),-24.0
POINT (-77.64534482830832 167.708717922446),-25.2
POINT (-77.08874737434196 167.708717922446),-24.0
POINT (-76.53214992037559 167.708717922446),-23.9
POINT (-75.9755524664092 167.708717922446),-24.0
POINT (-75.41895501244285 167.708717922446),-23.9
POINT (-74.86235755847649 167.708717922446),-23.9
POINT (-74.30576010451011 167.708717922446),-23.9
POINT (-73.74916265054375 167.708717922446),-23.9
POINT (-73.19256519657738 167.708717922446),-24.0
POINT (-72.635967742611 167.708717922446),-24.0
POINT (-72.07937028864464 167.708717922446),-24.0
POINT (-71.52277283467826 167.708717922446),-23.9
POINT (-70.9661753807119 167.708717922446),-24.7
POINT (-70.40957792674553 167.708717922446),-24.2
POINT (-69.85298047277918 167.708717922446),-24.0
POINT (-68.73978556484644 167.708717922446),-24.1
POINT (-68.18318811088008 167.708717922446),-24.8
POINT (-67.6265906569137 167.708717922446),-25.0
POINT (-67.06999320294732 167.708717922446),-23.8
POINT (-66.51339574898097 167.708717922446),-24.8
POINT (-65.9567982950146 167.708717922446),-24.3
POINT (-65.40020084104823 167.708717922446),-24.7
POINT (-64.84360338708186 167.708717922446),-24.7
POINT (-64.2870059331155 167.708717922446),-23.8
POINT (-63.73040847914911 167.708717922446),-23.7
POINT (-63.17381102518276 167.708717922446),-23.7
POINT (-62.61721357121638 167.708717922446),-23.7
POINT (-62.06061611725002 167.708717922446),-23.7
POINT (-61.50401866328366 167.708717922446),-23.7
POINT (-60.947421209317284 167.708717922446),-23.6
POINT (-60.39082375535091 167.708717922446),-24.6
POINT (-59.83422630138455 167.708717922446),-24.1
POINT (-59.27762884741818 167.708717922446),-23.4
POINT (-58.72103139345182 167.708717922446),-23.5
POINT (-58.164433939485455 167.708717922446),-23.5
POINT (-57.60783648551907 167.708717922446),-23.4
POINT (-57.051239031552704 167.708717922446),-23.4
POINT (-56.49464157758634 167.708717922446),-23.4
POINT (-55.938044123619974 167.708717922446),-24.1
POINT (-55.38144666965361 167.708717922446),-23.5
POINT (-54.82484921568724 167.708717922446),-23.5
POINT (-54.26825176172086 167.708717922446),-23.6
POINT (-53.7116543077545 167.708717922446),-23.6
POINT (-53.15505685378814 167.708717922446),-23.5
POINT (-52.59845939982176 167.708717922446),-23.4
POINT (-52.04186194585541 167.708717922446),-23.3
POINT (-51.485264491889026 167.708717922446),-23.3
POINT (-50.92866703792266 167.708717922446),-23.6
POINT (-50.37206958395629 167.708717922446),-23.6
POINT (-49.815472129989935 167.708717922446),-23.2
POINT (-49.25887467602355 167.708717922446),-23.2
POINT (-48.70227722205719 167.708717922446),-23.4
POINT (-48.14567976809082 167.708717922446),-25.0
POINT (-47.589082314124454 167.708717922446),-25.0
POINT (-47.032484860158085 167.708717922446),-25.4
POINT (-46.47588740619172 167.708717922446),-25.6
POINT (-45.91928995222534 167.708717922446),-25.9
POINT (-45.36269249825898 167.708717922446),-25.9
POINT (-44.80609504429262 167.708717922446),-25.9
POINT (-44.24949759032624 167.708717922446),-25.8
POINT (-43.692900136359874 167.708717922446),-25.7
POINT (-43.13630268239351 167.708717922446),-25.3
POINT (-42.57970522842714 167.708717922446),-25.1
POINT (-42.023107774460776 167.708717922446),-24.9
POINT (-41.46651032049441 167.708717922446),-24.6
POINT (-40.90991286652804 167.708717922446),-22.8
POINT (-40.35331541256168 167.708717922446),-22.7
POINT (-39.7967179585953 167.708717922446),-22.5
POINT (-39.24012050462894 167.708717922446),-22.5
POINT (-38.68352305066257 167.708717922446),-22.4
POINT (-38.1269255966962 167.708717922446),-22.3
POINT (-37.570328142729835 167.708717922446),-22.8
POINT (-37.01373068876347 167.708717922446),-22.1
POINT (-36.4571332347971 167.708717922446),-22.2
POINT (-35.90053578083073 167.708717922446),-22.1
POINT (-35.34393832686437 167.708717922446),-22.0
POINT (-34.787340872897985 167.708717922446),-21.9
POINT (-34.23074341893163 167.708717922446),-21.8
POINT (-33.67414596496526 167.708717922446),-21.8
POINT (-33.117548510998894 167.708717922446),-21.8
POINT (-32.56095105703252 167.708717922446),-21.7
POINT (-32.00435360306615 167.708717922446),-21.6
POINT (-31.447756149099785 167.708717922446),-21.5
POINT (-30.89115869513342 167.708717922446),-21.5
POINT (-30.334561241167044 167.708717922446),-21.3
POINT (-29.777963787200683 167.708717922446),-21.7
POINT (-29.221366333234318 167.708717922446),-21.6
POINT (-28.664768879267942 167.708717922446),-21.2
POINT (-28.108171425301578 167.708717922446),-21.3
POINT (-27.551573971335216 167.708717922446),-21.3
POINT (-26.99497651736884 167.708717922446),-21.2
POINT (-26.438379063402476 167.708717922446),-20.5
POINT (-25.881781609436107 167.708717922446),-20.9
POINT (-25.32518415546974 167.708717922446),-20.6
POINT (-24.76858670150337 167.708717922446),-20.3
POINT (-24.211989247537 167.708717922446),-20.2
POINT (-23.655391793570633 167.708717922446),-20.3
POINT (-23.098794339604268 167.708717922446),-20.2
POINT (-22.5421968856379 167.708717922446),-20.1
POINT (-21.98559943167153 167.708717922446),-20.0
POINT (-21.429001977705163 167.708717922446),-19.9
POINT (-20.872404523738798 167.708717922446),-19.7
POINT (-20.31580706977243 167.708717922446),-19.7
POINT (-19.759209615806057 167.708717922446),-19.8
POINT (-19.202612161839696 167.708717922446),-19.9
POINT (-18.646014707873327 167.708717922446),-20.2
POINT (-18.089417253906955 167.708717922446),-20.3
POINT (-17.532819799940587 167.708717922446),-19.9
POINT (-16.97622234597422 167.708717922446),-20.0
POINT (-16.419624892007853 167.708717922446),-20.4
POINT (-15.863027438041485 167.708717922446),-20.4
POINT (-15.306429984075116 167.708717922446),-20.4
POINT (-14.74983253010875 167.708717922446),-20.3
POINT (-14.193235076142381 167.708717922446),-20.2
POINT (-13.636637622176012 167.708717922446),-20.2
POINT (64.2870059331155 167.708717922446),-15.8
POINT (64.84360338708186 167.708717922446),-15.8
POINT (65.40020084104823 167.708717922446),-15.7
POINT (65.9567982950146 167.708717922446),-15.8
POINT (69.29638301881279 167.708717922446),-15.8
POINT (69.85298047277918 167.708717922446),-15.8
POINT (70.40957792674553 167.708717922446),-15.9
POINT (70.9661753807119 167.708717922446),-15.9
POINT (-104.91862007266035 163.94199262074426),-25.6
POINT (-104.362022618694 163.94199262074426),-25.6
POINT (-103.80542516472764 163.94199262074426),-25.6
POINT (-103.24882771076123 163.94199262074426),-25.7
POINT (-102.69223025679487 163.94199262074426),-25.7
POINT (-102.1356328028285 163.94199262074426),-25.7
POINT (-101.02243789489576 163.94199262074426),-25.5
POINT (-100.4658404409294 163.94199262074426),-25.5
POINT (-99.90924298696305 163.94199262074426),-25.7
POINT (-99.35264553299668 163.94199262074426),-25.8
POINT (-98.7960480790303 163.94199262074426),-25.8
POINT (-98.23945062506394 163.94199262074426),-25.9
POINT (-97.68285317109758 163.94199262074426),-24.8
POINT (-97.1262557171312 163.94199262074426),-24.5
POINT (-96.56965826316483 163.94199262074426),-24.4
POINT (-96.01306080919846 163.94199262074426),-24.3
POINT (-95.45646335523209 163.94199262074426),-24.3
POINT (-94.89986590126573 163.94199262074426),-24.2
POINT (-94.34326844729935 163.94199262074426),-24.0
POINT (-93.78667099333298 163.94199262074426),-27.8
POINT (-93.23007353936664 163.94199262074426),-28.6
POINT (-92.67347608540025 163.94199262074426),-29.1
POINT (-92.11687863143388 163.94199262074426),-29.4
POINT (-91.56028117746753 163.94199262074426),-29.4
POINT (-91.00368372350115 163.94199262074426),-29.7
POINT (-90.44708626953478 163.94199262074426),-29.4
POINT (-89.89048881556842 163.94199262074426),-29.3
POINT (-89.33389136160206 163.94199262074426),-28.7
POINT (-88.77729390763568 163.94199262074426),-27.8
POINT (-88.2206964536693 163.94199262074426),-26.6
POINT (-87.66409899970294 163.94199262074426),-23.4
POINT (-87.10750154573657 163.94199262074426),-26.6
POINT (-86.5509040917702 163.94199262074426),-26.2
POINT (-85.99430663780383 163.94199262074426),-26.3
POINT (-85.43770918383746 163.94199262074426),-26.4
POINT (-84.8811117298711 163.94199262074426),-26.1
POINT (-84.32451427590473 163.94199262074426),-25.9
POINT (-83.76791682193837 163.94199262074426),-26.2
POINT (-83.21131936797201 163.94199262074426),-26.0
POINT (-82.65472191400563 163.94199262074426),-25.9
POINT (-82.09812446003926 163.94199262074426),-25.7
POINT (-81.5415270060729 163.94199262074426),-25.7
POINT (-80.98492955210652 163.94199262074426),-25.5
POINT (-80.42833209814016 163.94199262074426),-23.0
POINT (-79.87173464417378 163.94199262074426),-23.0
POINT (-79.31513719020742 163.94199262074426),-23.0
POINT (-78.75853973624106 163.94199262074426),-23.0
POINT (-78.20194228227469 163.94199262074426),-23.0
POINT (-77.64534482830832 163.94199262074426),-22.9
POINT (-77.08874737434196 163.94199262074426),-23.0
POINT (-76.53214992037559 163.94199262074426),-23.0
POINT (-75.9755524664092 163.94199262074426),-23.0
POINT (-75.41895501244285 163.94199262074426),-23.0
POINT (-74.86235755847649 163.94199262074426),-23.0
POINT (-74.30576010451011 163.94199262074426),-24.1
POINT (-73.74916265054375 163.94199262074426),-24.3
POINT (-73.19256519657738 163.94199262074426),-24.1
POINT (-72.635967742611 163.94199262074426),-24.0
POINT (-72.07937028864464 163.94199262074426),-23.5
POINT (-71.52277283467826 163.94199262074426),-23.5
POINT (-70.9661753807119 163.94199262074426),-23.5
POINT (-70.40957792674553 163.94199262074426),-24.3
POINT (-69.85298047277918 163.94199262074426),-24.1
POINT (-69.29638301881279 163.94199262074426),-23.1
POINT (-68.73978556484644 163.94199262074426),-23.4
POINT (-68.18318811088008 163.94199262074426),-23.4
POINT (-67.6265906569137 163.94199262074426),-23.7
POINT (-67.06999320294732 163.94199262074426),-23.9
POINT (-66.51339574898097 163.94199262074426),-24.0
POINT (-65.9567982950146 163.94199262074426),-24.0
POINT (-65.40020084104823 163.94199262074426),-24.2
POINT (-64.84360338708186 163.94199262074426),-24.2
POINT (-64.2870059331155 163.94199262074426),-24.3
POINT (-63.73040847914911 163.94199262074426),-24.2
POINT (-63.17381102518276 163.94199262074426),-24.3
POINT (-62.61721357121638 163.94199262074426),-24.4
POINT (-62.06061611725002 163.94199262074426),-24.5
POINT (-61.50401866328366 163.94199262074426),-24.3
